size,avg_time_ns,avg_waste
500,2758230.0,1.052682083896792
1024,6402920.0,0.9250171435352172
2500,17670570.0,1.073083922088199
5000,39959710.0,1.1691898504961955
8192,69760220.0,1.1364047882687374
32678,333360620.0,1.5586456258310135
131072,1632684170.0,2.0919449621294914
1048576,19082751240.0,3.5500872114731465
